date,epu
1990-01-01,92.32149379247754
1990-02-01,110.44626688295094
1990-03-01,104.46140831561843
1990-04-01,88.44817178422947
1990-05-01,97.38793637078642
1990-06-01,100.86433963474325
1990-07-01,86.28017835824672
1990-08-01,139.3226840178918
1990-09-01,165.93844185541894
1990-10-01,137.67423664993336
1990-11-01,152.44860325465453
1990-12-01,134.0615437084288
1991-01-01,204.01055058227868
1991-02-01,106.5180636916813
1991-03-01,107.9374781057991
1991-04-01,93.01464313403947
1991-05-01,82.14782292687619
1991-06-01,85.9190353459905
1991-07-01,80.64899574924756
1991-08-01,99.1220876351474
1991-09-01,127.29445172855363
1991-10-01,108.12096365345326
1991-11-01,140.61236293406452
1991-12-01,171.01097815988044
1992-01-01,116.36485991068336
1992-02-01,154.59694387828964
1992-03-01,96.82840989020882
1992-04-01,89.85422177022748
1992-05-01,78.68047116353368
1992-06-01,122.29350486035858
1992-07-01,119.61317295359896
1992-08-01,122.40711783430207
1992-09-01,141.44325171216033
1992-10-01,161.2542436336425
1992-11-01,108.15006236420741
1992-12-01,87.87209518675475
1993-01-01,83.46497781036663
1993-02-01,106.9761210799595
1993-03-01,109.79681364072599
1993-04-01,89.65112958727644
1993-05-01,133.50576901067626
1993-06-01,120.68005828330716
1993-07-01,106.50298783719627
1993-08-01,115.57617998756493
1993-09-01,116.02729162824915
1993-10-01,78.82250778696172
1993-11-01,89.25749665503251
1993-12-01,77.27201262059008
1994-01-01,82.292792334517
1994-02-01,96.14565340898578
1994-03-01,83.22688321376525
1994-04-01,106.3544522885795
1994-05-01,94.50387600337432
1994-06-01,87.46889796697059
1994-07-01,75.43204598904657
1994-08-01,88.99729445095
1994-09-01,85.29349647378884
1994-10-01,61.68622431713445
1994-11-01,94.68728008930799
1994-12-01,94.76318667221287
1995-01-01,122.40637721419766
1995-02-01,100.51555754606565
1995-03-01,86.48618206747146
1995-04-01,65.99556422083535
1995-05-01,67.30165511787013
1995-06-01,75.8233853357174
1995-07-01,81.6529427313606
1995-08-01,55.888009480732194
1995-09-01,70.38091610462732
1995-10-01,79.90552416007453
1995-11-01,101.20012387304337
1995-12-01,90.67060646748811
1996-01-01,101.57821855006004
1996-02-01,82.02139498574057
1996-03-01,76.6304553233783
1996-04-01,70.88105946563621
1996-05-01,62.109610574834804
1996-06-01,82.24293662564388
1996-07-01,69.6936720887051
1996-08-01,88.64742317687785
1996-09-01,78.98076227056822
1996-10-01,55.67024217978777
1996-11-01,74.3711974271964
1996-12-01,67.17334641709162
1997-01-01,75.44551573321536
1997-02-01,92.08614082091208
1997-03-01,70.45269280548638
1997-04-01,71.10443874077556
1997-05-01,75.86949851140297
1997-06-01,84.47804647674762
1997-07-01,76.70619865829349
1997-08-01,58.9150257557291
1997-09-01,54.414304318792254
1997-10-01,92.92955831425789
1997-11-01,85.98280737802611
1997-12-01,103.69952524168959
1998-01-01,107.95375973979459
1998-02-01,101.14946961212516
1998-03-01,83.34761451406713
1998-04-01,74.45728445332433
1998-05-01,80.12714109527326
1998-06-01,80.88773246542675
1998-07-01,101.41852014934375
1998-08-01,130.4670375017141
1998-09-01,169.03726517657716
1998-10-01,145.0232340405699
1998-11-01,113.50474604361462
1998-12-01,110.89498351659728
1999-01-01,123.32283747283167
1999-02-01,94.9962815962865
1999-03-01,67.02757147960898
1999-04-01,69.78789408995442
1999-05-01,64.77645683453999
1999-06-01,74.92561924374593
1999-07-01,86.52993788376686
1999-08-01,77.02533663214793
1999-09-01,77.49835238828636
1999-10-01,65.3370789914859
1999-11-01,76.31718243112634
1999-12-01,79.32242992747162
2000-01-01,88.98869391073669
2000-02-01,73.3651997030655
2000-03-01,73.29862438174338
2000-04-01,70.59974192111534
2000-05-01,118.14320821528011
2000-06-01,109.58422938231769
2000-07-01,86.65834800601013
2000-08-01,58.9064610781457
2000-09-01,73.55099246733765
2000-10-01,89.91344671287975
2000-11-01,166.18403239077642
2000-12-01,149.4485001795515
2001-01-01,142.61412471311857
2001-02-01,128.62565535107098
2001-03-01,137.37415698636863
2001-04-01,148.75800337441086
2001-05-01,117.43625549349886
2001-06-01,93.46123235104056
2001-07-01,120.29459148285862
2001-08-01,95.39996953368582
2001-09-01,272.7644685794166
2001-10-01,247.29424979686613
2001-11-01,172.48882813310587
2001-12-01,149.70893021681252
2002-01-01,148.4497314528814
2002-02-01,104.60942572225599
2002-03-01,97.51299569010776
2002-04-01,106.16464875162978
2002-05-01,98.64004001359024
2002-06-01,111.14994799168991
2002-07-01,139.6611168980289
2002-08-01,136.1190661974469
2002-09-01,149.84820720275255
2002-10-01,128.97361341063151
2002-11-01,162.2214061864004
2002-12-01,160.41131507289407
2003-01-01,185.59162652138568
2003-02-01,161.75976715994645
2003-03-01,224.64720345160174
2003-04-01,176.57986689384026
2003-05-01,122.30983047070124
2003-06-01,110.69554185728094
2003-07-01,103.74824713972363
2003-08-01,91.71417654404974
2003-09-01,109.55396002444846
2003-10-01,78.58598676467068
2003-11-01,78.69609964329601
2003-12-01,90.34358991197523
2004-01-01,88.27759572857266
2004-02-01,88.90148508207112
2004-03-01,84.33089610192823
2004-04-01,79.72691950012862
2004-05-01,97.20803838432163
2004-06-01,85.27448960446613
2004-07-01,88.95650111507221
2004-08-01,84.44987824707995
2004-09-01,108.50957987436333
2004-10-01,118.34145293903767
2004-11-01,96.69576749080885
2004-12-01,66.53287700707968
2005-01-01,66.73432810959338
2005-02-01,51.69568735068457
2005-03-01,49.30863986934948
2005-04-01,78.39587328372458
2005-05-01,75.09076519417845
2005-06-01,82.0055894646693
2005-07-01,71.93954705749206
2005-08-01,59.617232439781645
2005-09-01,105.76985636920045
2005-10-01,79.82999973324895
2005-11-01,60.06785222693027
2005-12-01,70.02675640647561
2006-01-01,75.0792378739031
2006-02-01,69.49174527895298
2006-03-01,55.008072876583114
2006-04-01,81.65172364535397
2006-05-01,67.80979905027529
2006-06-01,82.58628252380929
2006-07-01,84.47445648144311
2006-08-01,71.51509490076546
2006-09-01,61.75134643114063
2006-10-01,55.629510832709265
2006-11-01,49.59913098535966
2006-12-01,51.039038864062306
2007-01-01,74.5100265359479
2007-02-01,50.86002527277037
2007-03-01,72.52986574387415
2007-04-01,59.84139351214012
2007-05-01,71.13732014761729
2007-06-01,68.75923280644103
2007-07-01,44.782750655359
2007-08-01,90.0072966190591
2007-09-01,109.89265546447362
2007-10-01,90.64007584792559
2007-11-01,106.56616521489961
2007-12-01,116.99089720853152
2008-01-01,177.04220662091018
2008-02-01,108.31473674539728
2008-03-01,114.47457606203336
2008-04-01,98.1976986520828
2008-05-01,88.67343413142108
2008-06-01,89.13688332817846
2008-07-01,115.10272430568087
2008-08-01,81.1630782735328
2008-09-01,238.17187424023004
2008-10-01,241.7722778211416
2008-11-01,162.71338402414273
2008-12-01,157.82867702696615
2009-01-01,184.8178304010666
2009-02-01,202.54796673020627
2009-03-01,167.99121944262882
2009-04-01,107.92724800662688
2009-05-01,125.94462128322635
2009-06-01,112.47263513210393
