,gpr_norm,epu_norm,vix_mean_norm,vix_max_norm,gold_return,oil_return,bonds_return,dollar_return,defense_return,silver_return,btc_return
1990-01-01,0.08975680637354758,0.06989415576551668,0.25177692667871343,0.2234206374340762,,,,,,,
1990-02-01,0.08101980086917754,0.09654222489822907,0.25016514718810423,0.1900826477193579,,,0.9445161265991575,0.947769325776978,,,
1990-03-01,0.060289918993250924,0.08774294647109059,0.18922219812980942,0.1602465221980815,,,1.63173073623252,0.4278555234792942,,,
1990-04-01,0.0899675845386248,0.06419937811871111,0.21476256662714457,0.18013726363982996,,,4.409989334104661,-0.6639591102813436,,,
1990-05-01,0.10002763754366947,0.0773431269283422,0.1518122763671886,0.12382685138282706,,,-4.989692256788122,-0.0967442552364663,,,
1990-06-01,0.08582227525433728,0.08245433213067387,0.1275264485946214,0.11290096884036588,,,-1.9965439401482297,-1.9877934501284351,,,
1990-07-01,0.09871885031943342,0.06101187125137157,0.15743229993744687,0.17341363950334504,,,-0.8338422185629336,-4.464630384705385,,,
1990-08-01,0.4464890297062989,0.13899797075920234,0.3437132243523461,0.3525703913215881,,,5.808833983794794,-0.7022427124538859,,,
1990-09-01,0.31598719752664606,0.1781299671341942,0.3614637438127546,0.2697856656115512,,,-0.4524890448971678,-0.6490490639877555,,,
1990-10-01,0.22135261928568165,0.13657432996636487,0.3713331867078634,0.31769153433929426,,,-1.9462558575030102,-3.213888660461291,,,
1990-11-01,0.2528024101897458,0.15829644150449967,0.2810727536246438,0.27412802957734167,,,-4.613466160068889,-0.4211527505862296,,,
1990-12-01,0.24101507515858553,0.1312627439520231,0.25207641471883413,0.21123404530905332,,,-2.2032752151867676,0.1686740034229372,,,
1991-01-01,0.7185123267118599,0.23410574019999664,0.329505091650388,0.34878834272582504,,,-0.620736838591323,-1.2964374913008696,,,
1991-02-01,0.6342608088222546,0.09076675782419903,0.21847435857008454,0.17229303548059755,,,-0.1246015748584729,2.504950108197196,,,
1991-03-01,0.23141789300210044,0.09285366138136748,0.14839933239366995,0.1390950978910787,,,0.3733636168057454,9.023715990061874,,,
1991-04-01,0.12400497914067993,0.07091326323136103,0.13800644088738948,0.12354672041512071,,,-0.3733636168057468,-0.5229863019956696,,,
1991-05-01,0.10459358469962896,0.05493624797783214,0.12961906885378174,0.0991735361650749,,,0.4975129623974797,1.7220291814764008,,,
1991-06-01,0.10282966101405422,0.060480898316738904,0.13347950859046184,0.11556238669607405,,,2.2086707564297323,3.097663377959634,,,
1991-07-01,0.16080593475000238,0.052732587272781475,0.13650900481414438,0.12592800730312254,,,-0.48661851346001456,-2.711851496785197,,,
1991-08-01,0.15723738516610272,0.07989277444936753,0.10579859096232777,0.13853480923835865,,,-4.74495545010558,0.0,,,
1991-09-01,0.16662981553422024,0.1213133816065204,0.13008041289404668,0.09693232811957991,,,-4.578960545087044,-3.915649740275198,,,
1991-10-01,0.13049263148152124,0.09312343223777127,0.11879605905412402,0.10197505958059733,,,0.0,0.033363486926206165,,,
1991-11-01,0.130303654620423,0.14089412983085636,0.14563816983780406,0.14876032428559288,,,-1.212131693865133,-1.9537987736334792,,,
1991-12-01,0.13711951890564608,0.1855878976387439,0.15657085040507676,0.1298501080240851,,,-9.517469745059723,-5.440752164241334,,,
1992-01-01,0.13498237881004777,0.10524407597157039,0.14391827799371557,0.11107997060508407,,,8.564430926530783,4.643839276016243,,,
1992-02-01,0.10170952838478214,0.16145505370744823,0.13999907365313383,0.10491666183862658,,,-0.5486977012151187,1.6999503162163876,,,
1992-03-01,0.0976837314963648,0.076520479369579,0.14081954253074178,0.1189242254816239,,,3.6465888038744647,0.7389237208058514,,,
1992-04-01,0.09886287105480993,0.06626663253585015,0.12258445601914683,0.1239669302253339,,,0.9241012457609514,-0.033467706656923446,,,
1992-05-01,0.08431650285556799,0.049838350804953926,0.09428997334976977,0.07872250607060638,,,-3.7487683928085005,-2.7144863594673687,,,
1992-06-01,0.11574510476130812,0.11396070595052947,0.09669279693900404,0.09665219715187356,,,-2.6262747838112737,-4.095576425171775,,,
1992-07-01,0.07635134085592726,0.11001992999745079,0.06619877469581978,0.06345425956235473,,,-6.062463433841936,-2.1856783922130667,,,
1992-08-01,0.08997043659391252,0.11412774618705583,0.0818153005063468,0.06849699102337212,,,-1.4992770651808116,-3.7693452761823427,,,
1992-09-01,0.07511148635779777,0.1421157496265784,0.06800492795933025,0.05448941402172114,,,-3.8495901043304412,2.7755266831956615,,,
1992-10-01,0.06153776569150868,0.17124299329887283,0.1430354014191745,0.13615352235035677,,,6.532318861284063,7.7440431418232425,,,
1992-11-01,0.10974681354525812,0.093166214812316,0.08186471960191297,0.08446560502685069,,,2.1818991901529894,3.59763031986987,,,
1992-12-01,0.09372087318395783,0.06335239763963889,0.03934014518048881,0.021011345464495956,,,-3.6634134203805258,1.6594314171176592,,,
1993-01-01,0.18981091808014203,0.05687280377461572,0.043484492427977445,0.04790586872774308,,,-4.73732504338597,0.10821175635128125,,,
1993-02-01,0.1086043639861923,0.09144021976982765,0.06847932258064057,0.06443478474259537,,,-5.7987201961989,1.7050479537083163,,,
1993-03-01,0.11657376378549786,0.09558736191534455,0.0662800604301719,0.06891720083358532,,,0.0,-2.3452024015515702,,,
